deplacement (mm);charge (N)

       0;  0.1528
 0.02000;   1.681
 0.04000;   3.820
 0.06000;   5.807
 0.08000;   7.793
  0.1000;  10.70 
  0.1200;  12.84 
  0.1400;  14.98 
  0.1600;  17.27 
  0.1800;  18.64 
  0.2000;  20.94 
  0.2200;  23.38 
  0.2400;  25.83 
  0.2600;  27.20 
  0.2800;  29.65 
  0.3000;  31.17 
  0.3200;  33.47 
  0.3400;  33.92 
  0.3600;  34.84 
  0.3800;  34.84 
  0.4000;  35.61 
  0.4200;  35.76 
  0.4400;  32.40 
  0.4600;  34.69 
  0.4800;  37.29 
  0.5000;  38.05 
  0.5200;  38.81 
  0.5400;  38.81 
  0.5600;  39.27 
  0.5800;  39.43 
  0.6000;  39.58 
  0.6200;  39.43 
  0.6400;  40.04 
  0.6600;  41.11 
  0.6800;  41.87 
  0.7000;  42.18 
  0.7200;  43.09 
  0.7400;  44.32 
  0.7600;  45.39 
  0.7800;  46.91 
  0.8000;  48.44 
  0.8200;  49.97 
  0.8400;  51.50 
  0.8600;  53.64 
  0.8800;  55.17 
  0.9000;  56.69 
  0.9200;  57.00 
  0.9400;  58.83 
  0.9600;  59.75 
  0.9800;  60.82 
   1.000;  61.74 
   1.020;  63.11 
   1.040;  64.03 
   1.060;  64.94 
   1.080;  66.32 
   1.100;  66.78 
   1.120;  68.31 
   1.140;  69.22 
   1.160;  70.60 
   1.180;  71.52 
   1.200;  72.74 
   1.220;  73.81 
   1.240;  74.72 
   1.260;  76.10 
   1.280;  76.71 
   1.300;  77.78 
   1.320;  78.85 
   1.340;  79.77 
   1.360;  81.14 
   1.380;  82.06 
   1.400;  83.59 
   1.420;  84.50 
   1.440;  86.19 
   1.460;  88.02 
   1.480;  89.09 
   1.500;  90.92 
   1.520;  92.91 
   1.540;  94.13 
   1.560;  95.81 
   1.580;  97.95 
   1.600;  99.79 
   1.620; 101.2  
   1.640; 103.6  
   1.660; 105.4  
   1.680; 107.3  
   1.700; 109.0  
   1.720; 110.6  
   1.740; 113.1  
   1.760; 114.6  
   1.780; 116.9  
   1.800; 118.1  
   1.820; 120.3  
   1.840; 122.4  
   1.860; 124.4  
   1.880; 125.8  
   1.900; 128.1  
   1.920; 129.9  
   1.940; 132.2  
   1.960; 134.0  
   1.980; 135.8  
   2.000; 138.0  
   2.020; 140.3  
   2.040; 142.4  
   2.060; 144.9  
   2.080; 147.2  
   2.100; 149.4  
   2.120; 152.0  
   2.140; 154.6  
   2.160; 157.4  
   2.180; 159.4  
   2.200; 162.6  
   2.220; 164.9  
   2.240; 167.8  
   2.260; 170.4  
   2.280; 173.3  
   2.300; 175.9  
   2.320; 178.8  
   2.340; 181.2  
   2.360; 184.0  
   2.380; 186.4  
   2.400; 189.3  
   2.420; 192.4  
   2.440; 195.3  
   2.460; 198.0  
   2.480; 200.9  
   2.500; 203.9  
   2.520; 207.1  
   2.540; 210.1  
   2.560; 212.9  
   2.580; 215.8  
   2.600; 219.3  
   2.620; 222.3  
   2.640; 225.2  
   2.660; 228.3  
   2.680; 231.5  
   2.700; 234.9  
   2.720; 237.8  
   2.740; 241.3  
   2.760; 244.7  
   2.780; 247.7  
   2.800; 251.4  
   2.820; 255.0  
   2.840; 258.3  
   2.860; 261.9  
   2.880; 265.1  
   2.900; 269.1  
   2.920; 272.6  
   2.940; 276.3  
   2.960; 279.8  
   2.980; 283.8  
   3.000; 287.9  
   3.020; 291.6  
   3.040; 295.7  
   3.060; 299.2  
   3.080; 303.3  
   3.100; 307.6  
   3.120; 311.3  
   3.140; 315.6  
   3.160; 319.8  
   3.180; 323.5  
   3.200; 328.1  
   3.220; 332.1  
   3.240; 336.5  
   3.260; 340.5  
   3.280; 344.9  
   3.300; 348.9  
   3.320; 353.5  
   3.340; 357.6  
   3.360; 362.0  
   3.380; 366.6  
   3.400; 371.5  
   3.420; 375.8  
   3.440; 381.0  
   3.460; 385.4  
   3.480; 390.4  
   3.500; 395.0  
   3.520; 399.8  
   3.540; 404.5  
   3.560; 409.4  
   3.580; 414.4  
   3.600; 420.1  
   3.620; 424.4  
   3.640; 429.6  
   3.660; 434.6  
   3.680; 439.6  
   3.700; 444.8  
   3.720; 449.9  
   3.740; 455.4  
   3.760; 460.1  
   3.780; 465.3  
   3.800; 470.5  
   3.820; 475.9  
   3.840; 480.9  
   3.860; 486.6  
   3.880; 491.6  
   3.900; 497.1  
   3.920; 502.1  
   3.940; 507.3  
   3.960; 512.8  
   3.980; 518.5  
   4.000; 523.4  
   4.020; 529.0  
   4.040; 534.4  
   4.060; 539.9  
   4.080; 545.2  
   4.100; 550.4  
   4.120; 555.9  
   4.140; 561.6  
   4.160; 567.2  
   4.180; 573.0  
   4.200; 578.2  
   4.220; 583.9  
   4.240; 589.4  
   4.260; 594.7  
   4.280; 601.5  
   4.300; 606.5  
   4.320; 612.6  
   4.340; 617.7  
   4.360; 623.5  
   4.380; 628.8  
   4.400; 635.2  
   4.420; 640.9  
   4.440; 646.9  
   4.460; 653.0  
   4.480; 659.1  
   4.500; 665.0  
   4.520; 671.3  
   4.540; 677.1  
   4.560; 682.9  
   4.580; 689.6  
   4.600; 695.9  
   4.620; 702.0  
   4.640; 708.0  
   4.660; 714.1  
   4.680; 721.0  
   4.700; 726.8  
   4.720; 733.2  
   4.740; 739.8  
   4.760; 745.9  
   4.780; 752.4  
   4.800; 759.2  
   4.820; 766.2  
   4.840; 772.8  
   4.860; 779.2  
   4.880; 785.9  
   4.900; 792.9  
   4.920; 799.8  
   4.940; 806.8  
   4.960; 813.7  
   4.980; 820.9  
   5.000; 827.9  
   5.020; 835.1  
   5.040; 842.3  
   5.060; 849.0  
   5.080; 856.5  
   5.100; 863.7  
   5.120; 871.3  
   5.140; 878.5  
   5.160; 886.0  
   5.180; 893.8  
   5.200; 901.0  
   5.220; 908.2  
   5.240; 915.8  
   5.260; 923.4  
   5.280; 930.8  
   5.300; 938.3  
   5.320; 946.2  
   5.340; 953.7  
   5.360; 961.6  
   5.380; 969.0  
   5.400; 976.6  
   5.420; 984.1  
   5.440; 992.1  
   5.460; 999.4  
   5.480;1008    
   5.500;1016    
   5.520;1024    
   5.540;1031    
   5.560;1039    
   5.580;1047    
   5.600;1055    
   5.620;1063    
   5.640;1071    
   5.660;1079    
   5.680;1088    
   5.700;1096    
   5.720;1104    
   5.740;1112    
   5.760;1120    
   5.780;1129    
   5.800;1137    
   5.820;1146    
   5.840;1154    
   5.860;1163    
   5.880;1171    
   5.900;1180    
   5.920;1188    
   5.940;1197    
   5.960;1205    
   5.980;1214    
   6.000;1223    
   6.020;1232    
   6.040;1240    
   6.060;1250    
   6.080;1259    
   6.100;1267    
   6.120;1276    
   6.140;1285    
   6.160;1294    
   6.180;1303    
   6.200;1311    
   6.220;1320    
   6.240;1329    
   6.260;1338    
   6.280;1347    
   6.300;1356    
   6.320;1365    
   6.340;1374    
   6.360;1383    
   6.380;1392    
   6.400;1401    
   6.420;1410    
   6.440;1419    
   6.460;1428    
   6.480;1437    
   6.500;1446    
   6.520;1455    
   6.540;1464    
   6.560;1473    
   6.580;1483    
   6.600;1492    
   6.620;1501    
   6.640;1510    
   6.660;1519    
   6.680;1528    
   6.700;1537    
   6.720;1546    
   6.740;1555    
   6.760;1564    
   6.780;1574    
   6.800;1583    
   6.820;1592    
   6.840;1601    
   6.860;1610    
   6.880;1619    
   6.900;1629    
   6.920;1638    
   6.940;1647    
   6.960;1656    
   6.980;1665    
   7.000;1674    
   7.020;1684    
   7.040;1692    
   7.060;1701    
   7.080;1710    
   7.100;1719    
   7.120;1728    
   7.140;1738    
   7.160;1746    
   7.180;1755    
   7.200;1764    
   7.220;1773    
   7.240;1782    
   7.260;1791    
   7.280;1799    
   7.300;1808    
   7.320;1817    
   7.340;1826    
   7.360;1834    
   7.380;1842    
   7.400;1851    
   7.420;1859    
   7.440;1867    
   7.460;1875    
   7.480;1883    
   7.500;1892    
   7.520;1900    
   7.540;1908    
   7.560;1916    
   7.580;1923    
   7.600;1931    
   7.620;1939    
   7.640;1946    
   7.660;1954    
   7.680;1961    
   7.700;1968    
   7.720;1976    
   7.740;1983    
   7.760;1990    
   7.780;1996    
   7.800;2003    
   7.820;2010    
   7.840;2016    
   7.860;2023    
   7.880;2029    
   7.900;2035    
   7.920;2040    
   7.940;2046    
   7.960;2051    
   7.980;2057    
   8.000;2062    
   8.020;2068    
   8.040;2072    
   8.060;2077    
   8.080;2081    
   8.100;2085    
   8.120;2088    
   8.140;2092    
   8.160;2096    
   8.180;2098    
   8.200;2101    
   8.220;2102    
   8.240;2104    
   8.260;2105    
   8.280;2106    
   8.300;2105    
   8.320;2104    
   8.340;2100    
   8.360;2091    
   8.380;2070    

